id,mutated,cleaned
100,lodsd;xor eax ebx;push ebx;mov ebx 3097h;dec ebx;push edx;mov edx 1A8C23FCh;add ebx edx;pop edx;xor eax ebx;mov ebx [esp];add esp 4;push esi;mov esi 42B67C4Fh;add eax esi;mov esi [esp];push ecx;mov ecx esp;push edi;mov edi 4;add ecx edi;pop edi;add ecx 4;xchg ecx [esp];pop esp;sub ebx eax;push small word ptr [eax];,pop cx;rol byte ptr [esp] cl;pushf;
101,push dword ptr [edi+1Ch];popf;pop cx;rcl word ptr [esp] cl;pushf;,lodsb;add al bl;xor al 0Bh;xor al 0B7h;add bl al;movzx eax al;push dword ptr [edi+eax*4];
102,push dword ptr [edi+1Ch];popf;pop cx;rcl dword ptr [esp] cl;pushf;,pop ax;and [esp] al;pushf;
103,mov cx [esp];push eax;mov eax esp;add eax 4;push ecx;mov ecx 2;add eax ecx;mov ecx [esp];add esp 4;xchg eax [esp];pop esp;shl word ptr [esp] cl;pushf;,not word ptr [esp];
104,mov esp [esp];,lodsb;sub al bl;xor al 16h;xor al 7Bh;sub bl al;movzx eax al;pop dword ptr [edi+eax*4];
105,mov cx [esp];push edx;push esp;pop edx;push ecx;mov ecx 4;add edx ecx;pop ecx;add edx 2;xchg edx [esp];pop esp;shl dword ptr [esp] cl;pushf;,or dword ptr [edi+1Ch] 400h;
106,lodsb;sub al bl;push dx;sub esp 2;mov [esp] bx;mov bh 0F0h;mov dh bh;pop bx;xor al dh;mov dx [esp];add esp 2;push ebx;push cx;mov cl 67h;mov bl cl;mov cx [esp];add esp 2;sub al bl;mov ebx [esp];add esp 4;xor bl al;movzx eax al;mov eax [edi+eax*4];push small word ptr [eax];,pop ecx;pop eax;imul  ecx;push edx;push eax;pushf;
107,mov ax [esp];push ebx;push esp;pop ebx;add ebx 4;add ebx 2;xchg ebx [esp];mov esp [esp];btr [esp] ax;pushf;,pop ax;pop cx;movsx cx al;push cx;
108,mov cx [esp];push eax;mov eax esp;push esi;mov esi 4;add eax esi;pop esi;add eax 2;xchg eax [esp];mov esp [esp];mov ax [esp];push eax;push esp;mov eax [esp];add esp 4;add eax 4;add eax 2;xchg eax [esp];pop esp;mov ax [esp];push esi;mov esi esp;push edx;mov edx 4;add esi edx;pop edx;add esi 2;xchg esi [esp];mov esp [esp];div  cx;push small 4B02h;mov [esp] dx;push ax;pushf;,lodsd;add eax ebx;sub eax 3BF44EDCh;add eax 36B18F13h;add ebx eax;push small word ptr [eax];
109,mov ax [esp];push edi;mov edi esp;push ecx;mov ecx 4;add edi ecx;pop ecx;push ecx;mov ecx 2;add edi ecx;pop ecx;xchg edi [esp];pop esp;mov cx [esp];sub esp 4;mov [esp] edx;mov edx esp;push edi;mov edi 4;add edx edi;pop edi;add edx 2;xchg edx [esp];pop esp;cmp cl al;pushf;,mov ebx 0;
110,mov ax [esp];push edi;mov edi esp;push ebx;mov ebx 4;add edi ebx;pop ebx;add edi 2;xchg edi [esp];mov esp [esp];mov cx [esp];push ecx;mov ecx esp;add ecx 4;add ecx 2;push ecx;push dword ptr [esp+4];pop ecx;pop dword ptr [esp];mov esp [esp];test cx ax;pushf;,pop eax;pop ecx;cmp ecx eax;pushf;
111,mov ax [esp];push eax;push esp;pop eax;add eax 4;push esi;mov esi 2;add eax esi;pop esi;xchg eax [esp];pop esp;mov fs:[edx] al;,lodsd;sub eax ebx;xor eax 6833B84Bh;xor eax 702B7C7Eh;add ebx eax;add eax [edi+2Ch];push eax;
112,push dword ptr [esp];pop ecx;push ebp;mov ebp esp;add ebp 4;add ebp 4;xchg ebp [esp];mov esp [esp];push dword ptr [esp];pop eax;push eax;push esp;pop eax;add eax 4;add eax 4;xchg eax [esp];pop esp;imul  ecx;push 4E6Dh;mov [esp] edx;push eax;pushf;,pop eax;sub [esp] eax;pushf;
113,push dword ptr [edi+1Ch];popf;pop ax;sbb [esp] al;pushf;,pop eax;adc [esp] eax;pushf;
114,push dword ptr [esp];push dword ptr [esp];pop eax;add esp 4;add esp 4;sub [esp] eax;pushf;,pop cx;pop ax;mul  cx;push dx;push ax;pushf;
115,push dword ptr [esp];pop eax;sub esp 4;mov [esp] esi;mov esi esp;add esi 4;add esi 4;xchg esi [esp];pop esp;or [esp] eax;pushf;,lodsd;add esi eax;mov ebx 0;
116,lodsd;sub eax ebx;push esi;mov esi esp;push ebx;mov ebx 4;add esi ebx;pop ebx;sub esi 4;xchg esi [esp];pop esp;mov [esp] esi;mov esi 6FFE9D44h;xor eax esi;pop esi;push 4669h;mov [esp] ebx;mov ebx 7396FDE0h;sub eax ebx;push dword ptr [esp];pop ebx;add esp 4;add ebx eax;add edx eax;,lodsb;sub al bl;add al 97h;add al 0F8h;xor bl al;movzx eax al;pop dx;mov [edi+eax*4] dl;
117,lodsb;xor al bl;push small 540Ch;mov [esp] cx;push ebx;mov bh 0FAh;mov ch bh;pop ebx;sub al ch;pop cx;push edx;mov dl 0ACh;add al dl;mov edx [esp];push esi;mov esi esp;add esi 4;add esi 4;push esi;push dword ptr [esp+4];pop esi;pop dword ptr [esp];pop esp;sub bl al;movzx eax al;pop dword ptr [edi+eax*4];,lodsd;sub eax ebx;sub eax 1AD675B6h;add eax 72313D6Eh;add ebx eax;movzx ax byte ptr [eax];push ax;
